Year,Team,Wiki,Region,Country,Track,Kind
2020,GreatBay_SZ,http://2020.igem.org/Team:GreatBay_SZ,Asia,China,High School,High School
2020,Grenoble_Alpes,http://2020.igem.org/Team:Grenoble_Alpes,Europe,France,Therapeutics,Collegiate
2020,Groningen,http://2020.igem.org/Team:Groningen,Europe,Netherlands,Food & Nutrition,Collegiate
2020,GunnVistaPingry_US,http://2020.igem.org/Team:GunnVistaPingry_US,North America,United States,High School,High School
2020,GW_DC,http://2020.igem.org/Team:GW_DC,North America,United States,Environment,Collegiate
2020,GZ_HFI,http://2020.igem.org/Team:GZ_HFI,Asia,China,High School,High School
2020,Hainan_China,http://2020.igem.org/Team:Hainan_China,Asia,China,High School,High School
2020,Hamburg,http://2020.igem.org/Team:Hamburg,Europe,Germany,Food & Nutrition,Collegiate
2020,Hannover,http://2020.igem.org/Team:Hannover,Europe,Germany,Diagnostics,Collegiate
2020,Harvard,http://2020.igem.org/Team:Harvard,North America,United States,Therapeutics,Collegiate
2020,Heidelberg,http://2020.igem.org/Team:Heidelberg,Europe,Germany,Foundational Advance,Collegiate
2020,HKUST,http://2020.igem.org/Team:HKUST,Asia,Hong Kong,Manufacturing,Collegiate
2020,HK_CPU-WFN-WYY,http://2020.igem.org/Team:HK_CPU-WFN-WYY,Asia,Hong Kong,High School,High School
2020,HK_HCY,http://2020.igem.org/Team:HK_HCY,Asia,Hong Kong,High School,High School
2020,HK_SSC,http://2020.igem.org/Team:HK_SSC,Asia,Hong Kong,High School,High School
2020,Hong_Kong_CityU,http://2020.igem.org/Team:Hong_Kong_CityU,Asia,Hong Kong,Environment,Collegiate
2020,Hong_Kong_HKU,http://2020.igem.org/Team:Hong_Kong_HKU,Asia,Hong Kong,Foundational Advance,Collegiate
2020,HZAU-China,http://2020.igem.org/Team:HZAU-China,Asia,China,New Application,Collegiate
2020,HZNFHS_Hangzhou,http://2020.igem.org/Team:HZNFHS_Hangzhou,Asia,China,High School,High School
2020,iBowu-China,http://2020.igem.org/Team:iBowu-China,Asia,China,High School,High School
2020,ICS_BKK,http://2020.igem.org/Team:ICS_BKK,Asia,Thailand,High School,High School
2020,IISER-Pune-India,http://2020.igem.org/Team:IISER-Pune-India,Asia,India,Therapeutics,Collegiate
2020,IISER-Tirupati_India,http://2020.igem.org/Team:IISER-Tirupati_India,Asia,India,Environment,Collegiate
2020,IISER_Berhampur,http://2020.igem.org/Team:IISER_Berhampur,Asia,India,Foundational Advance,Collegiate
2020,IISER_Bhopal,http://2020.igem.org/Team:IISER_Bhopal,Asia,India,Therapeutics,Collegiate
2020,IIT_Roorkee,http://2020.igem.org/Team:IIT_Roorkee,Asia,India,Therapeutics,Collegiate
2020,Imperial_College,http://2020.igem.org/Team:Imperial_College,Europe,United Kingdom,Software,Collegiate
